num,svn_id,role_on_project,project_name
163,dlr,PMC Member,Apache Velocity
168,dlr,Committer,Apache Velocity
256,dlr,Committer,Apache Commons Configuration
281,dlr,Committer,Apache Commons Email
287,dlr,Committer,Apache Commons FileUpload
307,dlr,Committer,Apache Commons Lang
826,dlr,Committer,Apache Torque
976,dlr,PMC Member,Apache Velocity Anakia
981,dlr,Java developer,Apache Velocity Anakia
986,dlr,Committer,Apache Velocity Anakia
1309,dlr,Committer,Apache Commons Lang
1814,dlr,Java Developer,Apache Torque
2778,dlr,NA,Velocity
1247,dlr,Committer,Apache Commons Betwixt
1254,dlr,Java Developer,Apache Commons Configuration
1262,dlr,Committer,Apache Commons Configuration
1284,dlr,Committer,Apache Commons Email
1834,dlr,PMC Member,Apache Velocity
1839,dlr,Java developer,Apache Velocity
538,danny,Committer,Apache James
540,danny,PMC,Apache James
1554,danny,Committer,Apache James
2643,da2643,NA,Sentry
371,da0371,Committer,Apache Geronimo
484,daryn,Committer,Apache Hadoop
1426,daryn,PMC,Apache Hadoop
1475,daryn,Committer,Apache Hadoop
109,dasarath,Committer,Apache Axiom
147,dasarath,Committer,Apache Axis
1095,dasarath,Committer,Apache Axiom
1134,dasarath,Committer,Apache Axis2
2241,dims,NA,Geronimo
107,dims,Committer,Apache Axiom
690,dims,Committer,Apache Sandesha
1093,dims,Committer,Apache Axiom
1675,dims,Committer,Apache Sandesha
1329,dims,Committer,Apache Geronimo
57,dims,PMC,Apache Aries
1036,dims,PMC,Apache Aries
2060,dims,NA,Aries
2178,dbeech,NA,Crunch
2534,da2534,NA,Mesos
744,da0744,Contributor,Apache ServiceMix
2695,da2695,NA,ServiceMix
1731,da1731,Contributor,Apache ServiceMix
1888,da1888,NA,Accumulo
421,woollard,Committer,Apache Gora
1379,woollard,Committer,Apache Gora
1393,woollard,PMC,Apache Gora
2296,woollard,NA,Gora
809,dralves,Committer,Apache Whirr
1845,dralves,committer,Apache Whirr
1873,da1873,Committer,Apache XMLBeans
339,da0339,PMC,Apache Geronimo
383,da0383,Committer,Apache Geronimo
2242,da2242,NA,Geronimo
703,dblevins,Committer,Apache ServiceMix
2668,dblevins,NA,ServiceMix
1330,da1330,Committer,Apache Geronimo
1689,dblevins,Committer,Apache ServiceMix
55,da0055,PMC,Apache Aries
1034,da1034,PMC,Apache Aries
2058,da2058,NA,Aries
2770,da2770,NA,Tajo
627,da0627,PMC,Apache OpenJPA
637,da0627,Committer,Apache OpenJPA
2582,da2582,NA,OpenJPA
1636,da1636,Committer,Apache OpenJPA
1653,da1636,PMC,Apache OpenJPA
124,davidillsley,Committer,Apache Axis
1111,davidillsley,Committer,Apache Axis2
56,djencks,PMC,Apache Aries
340,djencks,PMC,Apache Geronimo
384,djencks,Committer,Apache Geronimo
1035,djencks,PMC,Apache Aries
2059,djencks,NA,Aries
2243,djencks,NA,Geronimo
704,djencks,Committer,Apache ServiceMix
728,djencks,PMC,Apache ServiceMix
921,djencks,Committer,Apache ActiveMQ
1148,djencks,PMC,Apache BVal
1216,djencks,Committer,Apache Camel
1912,djencks,NA,ActiveMQ
2134,djencks,NA,Camel
2500,djencks,NA,Karaf
2669,djencks,NA,ServiceMix
16,djencks,Committer,ActiveMQ
171,djencks,PMC,Apache Bean Validation
182,djencks,Committer,Apache Bean Validation
201,djencks,Committer,Apache Camel
575,djencks,Committer,Apache Karaf
588,djencks,PMC,Apache Karaf
1593,djencks,NA,Apache Karaf
1690,djencks,Committer,Apache ServiceMix
1715,djencks,PMC,Apache ServiceMix
1331,djencks,Committer,Apache Geronimo
567,uncled,Committer,Apache Jackrabbit
2493,uncled,NA,Jackrabbit
1583,uncled,Committer,Apache Jackrabbit
1950,dmreagan,NA,Airavata
2177,davw,NA,Crunch
638,da0638,Committer,Apache OpenJPA
2583,da2583,NA,OpenJPA
1637,da1637,Committer,Apache OpenJPA
2467,davide,NA,Jackrabbit
1164,de1164,Committer,Apache Batik
99,deepal,Committer,Apache Axiom
125,deepal,Committer,Apache Axis
776,deepal,Committer,Apache Synapse
1085,deepal,Committer,Apache Axiom
1112,deepal,Committer,Apache Axis2
1771,deepal,Committer,Apache Synapse
2734,deepal,NA,Synapse
918,dejanb,Committer,Apache ActiveMQ
1910,dejanb,NA,ActiveMQ
13,dejanb,Committer,ActiveMQ
910,de0910,Contributor,Apache Syncope
2762,de0911,NA,Syncope
1799,de0912,Contributor,Apache Syncope
36,dennisbyrne,Contributor,ActiveMQ
1194,dennisbyrne,Contributor,Apache Camel
1933,dennisbyrne,NA,ActiveMQ
2158,dennisbyrne,NA,Camel
2556,dennisbyrne,NA,MyFaces
1623,dennisbyrne,PMC Emeritus,Apache MyFaces
223,dennisbyrne,Contributor,Apache Camel
17,dcook,Committer,ActiveMQ
922,dcook,Committer,Apache ActiveMQ
1913,dcook,NA,ActiveMQ
317,dennisl,Committer,Apache Commons Logging
595,dennisl,PMC Member,Apache Maven
1021,dennisl,Committer,Apache Archiva
1008,de1008,Contributor,Apache Accumulo
2637,de2637,NA,River
1672,de1672,Committer,Apache River
142,dsosnoski,Committer,Apache Axis
1129,dsosnoski,Committer,Apache Axis2
446,ddas,PMC,Apache Hadoop
485,ddas,Committer,Apache Hadoop
846,ddas,Committer,Apache Ambari
847,ddas,PMC,Apache Ambari
871,ddas,Committer,Apache HCatalog
874,ddas,PPMC,Apache HCatalog
947,ddas,PMC,Apache Ambari
1977,ddas,NA,Ambari
2314,ddas,NA,Hadoop
2380,ddas,NA,HBase
2511,ddas,NA,Knox
2574,ddas,NA,Oozie
2600,ddas,NA,Phoenix
1399,ddas,Committer,Apache HBase
1427,ddas,PMC,Apache Hadoop
1476,ddas,Committer,Apache Hadoop
2315,devaraj,NA,Hadoop
110,dh0110,Contributor,Apache Axiom
